id,location_1,enter_time_1,exit_time_1,duration_1,location_2,enter_time_2,exit_time_2,duration_2,location_3,enter_time_3,exit_time_3,duration_3,location_4,enter_time_4,exit_time_4,duration_4,location_5,enter_time_5,exit_time_5,duration_5,location_6,enter_time_6,exit_time_6,duration_6,location_7,enter_time_7,exit_time_7,duration_7,location_8,enter_time_8,exit_time_8,duration_8,location_9,enter_time_9,exit_time_9,duration_9,location_10,enter_time_10,exit_time_10,duration_10,location_11,enter_time_11,exit_time_11,duration_11,location_12,enter_time_12,exit_time_12,duration_12,location_13,enter_time_13,exit_time_13,duration_13,location_14,enter_time_14,exit_time_14,duration_14,location_15,enter_time_15,exit_time_15,duration_15,location_16,enter_time_16,exit_time_16,duration_16
'01061,Baring_falls_trail,2023-07-02 16:38:09,2023-07-02 17:03:10,1456.0,Shuttle_Sunrift_gorge,2023-07-02 17:06:24,2023-07-02 17:12:10,346.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
'02011,Jackson_glac_overlook,2023-07-05 09:45:39,2023-07-05 09:47:39,120.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
'02031,Jackson_glac_overlook,2023-07-05 11:38:13,2023-07-05 11:41:13,180.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
'02091,Jackson_glac_overlook,2023-07-05 10:53:32,2023-07-05 11:03:02,570.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
'02111,Jackson_glac_overlook,2023-07-05 10:53:27,2023-07-05 11:05:12,645.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
'02161,Jackson_glac_overlook,2023-07-05 11:23:23,2023-07-05 11:28:38,315.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
'02181,Jackson_glac_overlook,2023-07-05 11:17:09,2023-07-05 11:26:09,540.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
'02191,Viriginia_falls_trail,2023-07-05 15:02:58,2023-07-05 15:49:13,1590.0,StMary_falls_trail,2023-07-05 15:56:28,2023-07-05 16:21:43,1515.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
'02201,Jackson_glac_overlook,2023-07-05 15:30:59,2023-07-05 15:37:44,405.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
'02241,Baring_falls_trail,2023-07-05 11:38:24,2023-07-05 11:54:39,975.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
'02321,Baring_falls_parking,2023-07-05 09:45:33,2023-07-05 09:52:18,405.0,Viriginia_falls_trail,2023-07-05 10:43:48,2023-07-05 12:03:18,3029.0,StMary_falls_trail,2023-07-05 12:48:03,2023-07-05 12:51:33,210.0,St_mary_falls_parking,2023-07-05 12:51:48,2023-07-05 12:53:48,120.0,Baring_falls_parking,2023-07-05 13:07:33,2023-07-05 13:10:33,180.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
'02331,Baring_falls_parking,2023-07-05 12:45:59,2023-07-05 13:44:59,3330.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
'02351,Jackson_glac_overlook,2023-07-05 11:40:02,2023-07-05 11:46:02,360.0,Baring_falls_parking,2023-07-05 12:01:01,2023-07-05 12:05:32,271.0,Baring_falls_trail,2023-07-05 12:16:32,2023-07-05 12:41:47,1470.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
'02441,Jackson_glac_overlook,2023-07-05 16:53:09,2023-07-05 17:05:24,735.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
'02471,Baring_falls_trail,2023-07-05 12:27:50,2023-07-05 12:41:05,780.0,StMary_falls_trail,2023-07-05 13:33:20,2023-07-05 14:45:50,4350.0,St_mary_falls_parking,2023-07-05 14:47:20,2023-07-05 14:58:05,600.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
'02551,Baring_falls_trail,2023-07-05 13:46:24,2023-07-05 13:59:39,795.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
'03031,Shuttle_St_mary_falls,2023-07-06 12:40:11,2023-07-06 12:42:41,150.0,Jackson_glac_overlook,2023-07-06 14:59:56,2023-07-06 15:01:56,120.0,Shuttle_St_mary_falls,2023-07-06 15:05:41,2023-07-06 15:20:26,885.0,StMary_falls_trail,2023-07-06 15:21:41,2023-07-06 16:22:11,3630.0,Viriginia_falls_trail,2023-07-06 16:29:11,2023-07-06 17:15:26,1965.0,StMary_falls_trail,2023-07-06 18:03:26,2023-07-06 18:33:41,1695.0,Shuttle_St_mary_falls,2023-07-06 18:34:11,2023-07-06 18:37:41,210.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
